health	COVID-19: Ba nganda, b'ekala na ba boîtes de nuit ekangami mikolo 15 na mokano ya Tshisekedi	Banganda, ba ekala, ba boîtes de nuit to bisaka misusu bato bamelaka mpe babinaka bikozala ya konganga mikolo 15, couvre feu to bokoti ndako botikali wuto 22h kino 4h mpe bokosalama na bokengeli ya bayi police… yango nde miike kati na mikambo président Tshisekedi asakoli. Mokonzi ya mboka, Félix Tshisekedi asakoli mikano ya kobatela mboka na mboka na mbonge ya misato ya COIVD-19 ezali kongala. Akomi mwa makasi mikano mizalaki wuto mobu moleki. Couvre feu to bokoti ndako botikali wuto ngonga ya zomi ya butu kino ya minei ya ntongo mpe bosalama na bokengeli ya bayi police, elobi président Tshisekedi wuto Goma, engumba mokonzi ya Nord-Kivu esika azali wuto mokolo mwa mposo mpo na kobondisa maloba ma baye bazwaki mpasi na botomboki ya volcan Nyiragongo, Banganga, ba ekala, ba boîtes de nuit to bisaka misusu bato bamelaka mpe babinaka bikozala ya konganga mikolo zomi na mitano. Wuto le 10 mars, Ekolo Congo démocratique ekomi na bato koleka nkoto tuku misato na mitano na nkama libwa na zomi na sambo to 35.917. Lundi, Cellule technique ya bitumba na COVID-19 esakolaki ete bato 12 basusu bakufaki na COVID-19. Bato nkama minei na tuku minei basika bayebani na kozwa bokono. Kati na bango nkama minei na zomi na motoba na Kinshasa; Nord-Kivu nde etuka ya mibale na bakoni zomi na sambo, nsima na yango Tshopo na minei mpe Sud-Kivu na misato; kaka bato koleka nkoto tuku misato na mine inde bazwai mangwele. Bakoni banso baleki nkoto tuku misato na ndombo wuto COVID-19 ekotaki na RDC na mars 2020, kolanda mokanda ya cellule technique ya lundi. Président Tshisekedi akundomli na bato ete bokono bwa COVID-19 bozali komata makasi. Mikamno misusu mitali. Bitong bisengami kokitisa motango ya bato bakozala na mayangai mpe mbulamatari elaki kofuta misolo misolo mpo na bakoni. Kozipa zolo mpe monoko, kosokola maboko mpe kotika ntaka ya metre moko na ndambo na bato basusu esangami.	https://www.voalingala.com/a/covid-19-ba-nganda-b-ekala-na-ba-bo%C3%AFtes-de-nuit-ekangami-mikolo-15-na-mokano-ya-tshiisekedi-/5929609.html
politics	Trump akebisi Biden na komisakola molongi na lombango	"Président Donald Trump akebisi vice-président ya kala joe Biden na komisakola molongi na mpokwa ya vendredi ntango bazuzi basengami kokata likambo lya moyibi ba républicains bazali kofunda. ""Joe Biden asengeli te na komisakola na libunga ete alongi ebonga ya mokonzi ya mboka. Ngai mpe nakoki kosakola yango. Makambo ya bazuzi mawuti nse kobanda!"" ekomi président Trump compte Twitter na ye. M. Biden aleki liboso ya Trump na Arizona lokola mpe na Pennsyvania mpe na Georgia ba éta epayi wapi M. Trump azalaki koleka na libandela lya botangi. Bayi Biden basakoli ete candidat na bango akozwa maloba na mpokwa ya vendredi wuto état ya Delare esika azali. Kasi wuto botangi ya nkasa etindamaki na nzela ya poste bobandaki, M. Biden aleki mpe azali kokoba kopusana liboso. ""Nazalaki koleka mosika na ba états oyo na butu ya maponami, kasi na kokamwa boleki bwa ngai bolimwe ndenga mikolo mizali koleka. Ntango mosusu boleki bwa nga bokozonga ndenge bosengi na biso na bazuzi bokokende liboso,"" ebakisi M. Trump. Bayi ngambo ya Trump basengi na bazuzi kotala malamu na ba états eye mibale mpo ba bakanisi été moyibi mosalami. Na bisika mingi balandi ya Trump basala milulu mpo na kosenga ete nkasa inso ekomaki na ba bureaux etangama te. Bayi ngambo ya Biden bango bazali kosala milulu mpo na kosenga ete nkasa inso etangama. Na ba états ya Georgia mpe ya Pennsylvania bakambi ba misala mya maponami balobi bakotanga nkasa inso soki eiamaki ndanga (caché) ya poste o ;mokolo mwa le 3 novembre, mokolo mwa maponami na bureaux ya vote. Biden asi akomaki na ba boponi banene 253 mpe Trump 214. Molongi asengeli akoma na 270. Botangi bokoki kokenge kino mokolo ya mposo na bisika miike."	https://www.voalingala.com/a/trump-akebisi-biden-na-komisakola-molongi-na-lombango/5651316.html
politics	UDPS/Tshisekedi epekisi ba députés na yango kopesa nkombo na esika ya Kabund	UDPS/Tshisekedi, lingomba ya mokonzi ya mboka Félix Tshisekedi, epekisi ba députés na yango kopesa nkombo mpo na kozwa esika ya Jean-Marc Kabund oyo akweyisamaki lundi na ebonga ya 1er vice-président ya Assemblée nationale. UDPS/Tshisekedi ekati wuta lelo ete ezali na litomba te kopona moko na ba députés nationaux baponama na liste na yango mpo kotia ye na esika ya honorable Jean-Marc Kabund-a-Kabund na ebonga ya 1er vice-président ya Assemblée national, esakoli UDPS/Tshisekedi na mikano mizwami jeudi nsima na likita ya lingomba liye na Limete, na Kinshasa. Na mikano myango mitiami manzaka na secrétaire général Augustin Kabuya, UDPS/Tshisekedi ekebisi député national nionso oyo akotosa te. Député national aponama na liste (ya UDPS/Tshisekedi) oyo akotosa te tokotala ye lokola amolingoli ye moko na parti mpe, na yango, akozwa etumbu kolanda mikano mya Buku likonzi ya ekolo, ba statuts mpe mibeko ya parti, elakisi mokanda ya UDPS/Tshisekedi. UDPS/Tshisekedi elobi, na mokanda mwango, ete na boyokani CACH-FCC, wuto libandela, ngambo mosusu etumolaka yango mpe etelemelaka yango. UDPS/Tshisekedi elobi ba Assemblée nationale esalaki nko mpo na kolongola M. Kabund mpe esengi ye kokende na ba zuzi mpo na yango. M. Kabund akweyisamaki na ebonga ya 1er vice-président ya Assemblée nationale	https://www.voalingala.com/a/udps-tshisekedi-epekisi-ba-d%C3%A9put%C3%A9s-na-yango-kopesa-nkombo-na-esika-ya-kabund/5439706.html
politics	Moko ya bakambi ya batomboki ya FNL akangemi na Rwanda	"Bakonzi ya Rwanda balobi ete bakangi molobeli ya lingomba ya batomboki FNL (Front de libération nationale) liye lifundami mpo na bobomi ya bato na zamba moko pene na RDC na Burundi. Callixte Nsabimana, molobeli ya FLN, afundami mpo na ""kosala lisanga ya basimba minduki, boyokani ya kosala misala ya ba terroristes, mpe kozwa bato na otages, koboma mpe kompunza,"" elobi liyebisi ya bakonzi ya Rwanda FLN esalaka na FDLR (Forces démocratiques de libération du Rwanda, batmboki ya Rwanda baye bavandaka na RDC."	https://www.voalingala.com/a/moko-ya-bakambi-ya-batomboki-ya-fnl-akangemi-na-rwanda/4897729.html
sports	Ibenge na Berkane balongoli Mazembe na ½ finale ya CAF C2 na 4-2	Jean Florent Ibenge na Renaissance Berkane ya Maroc balongoli TP Mazembe ya Ekolo Congo démocratique demi-finale ya Coupe ya confédération ya CAF na kololongaka 4-1 lobi dimanche na stade municipale ya Berkane, na Maroc. Elonga ya TP Mazembe 1-0 mposo moko yambo na match aller na stade Kamalondo na Lumbashi, na Haut-Katanga, RDC, ekokaki te mpo mpo ba Corbeaux ya RDC baleka. Bilembo binso ya aller na retour bipesi bongo mingete minei mpo na RS Berkane mpe moko mpo na TP Mazembe. Match retour ekozala pete te, Mazembe elongi biso na Lbumbashi kasi biso tokoluka mpe tolonga epayi na biso na Berkane, ekebisaki coach ya RS Berkane, moyi RDC, Jean-Florent Ibenge na interview exlcuisve apesaki VOa Lingala nsima na match aller le 8 mai na engumba mokonzi ya Haut-Katanga. Na match ya lobi dimanche 15 mai 2022, Berkane ezalaki yambo na kofungola mingete na 10’ na El Helali B. kasi TP Mazembe ezongisaki na 11’ na Kizimbi P. Na mi-temps ya mibale nde, RS Berkane emonisaki makasi. TP Mazembe ekomaki kolakisa kobanga mpe kolekisa ntango. Larbi N. atiaki mongete ya mibale ya Berkane na 79’ mpe El Fahli abakisi na penalty mongete ya misato. El Fahli Y. azongaki lissusu na mngete ya minei ya Berkane. Mwape T. ya Mazembe abimisamaki na 64 mpo kozwa cartons jaunes mibale (Rouge). 	https://www.voalingala.com/a/6574445.html
sports	Makabu, champion du monde ya boxe nsima kobeta polonais Cieslak	Junion Ilunga Makabu boxeur (mobeti bibotu) ya RDC azwi nkamba ya wolo ya WBC lourd-léger nsima na kolonga na ba points polonais Michael Cieslak na Shark hôtel, na Kinshasa. Bitumba yango ezalaki makasi. Ekendaki ti na 12e round. Kolanda ba juges M. Makabu 114-112, 116 111 mpe115 111. Combat yango ebundamaki liboso ya président ya RDC Félix Tshisekedi. Makabu aza na mibu 31. Abutanda bitumba ya profression 27 kasi alonga 25.	https://www.voalingala.com/a/makabu-champion-du-monde-ya-boxe-nsima-kobeta-polonaise-cieslak/5269041.html
health	RDC ezali candidate ya komeka mangwele ya COVID-19 (Dr. Muyembe)	"Dr, Jean-Jacques Muyembe andimi ete RDC ezali candidat ya komeka mangwele ya coronavirus ya sika, COVID-19. Mokambi ya cellule technique ya bitumba na COVID-19 apesaki eyano yango liboso ya bapanzi sango vendredi na Kinshasa. ""Komeka mangwele yango ekoki kasalama na kanisi na sanza ya mitano. (Biso) tokobanda komeka yango ntango mosusu na sanza ya sambo to ya mwambe, tokozala na ba essais cliniques ya mangwele yango,"" elobi Dr. Muyembe. Mokambi ya misala mya bitumba na COVID-19, andimi RDC eponami mpo komeka mangwele yango. Kasi OMS nanu endimi mangwele yango te. Mangwele yango ezali komeka na bato moke na Eatst-Unis mpe na mboka esusu ya poto. Kameka na bato ebele esengeli ebanda kala te."	https://www.voalingala.com/a/rdc-ezali-candidate-ya-komeka-mangwele-ya-covid-19-(dr-muyembe)/5359465.html
business	Bavandi batelemeli ba compagnies ya ba Chinois na Mwenga ntango Tshisekedi asengi botali ya ba contrats na bango	"Bavandi ya Kitutu, na Mwenga, na Sud-Kivu, batambolaki lundi mpo na kopamela bobimisi makele na moyibi mpe mbeba misusu na misala ya ba Chinois. Nzokandep résident Félix Tshisekedi asengi bobandeli kotala ba contrats na ba Chinois. ""Na ntongo ya lelo, bavandi ya Kitutu bakangaki nzela mpo na kosenga na compagnie moko ya Chinois eye ezali kokoba kozwa mabanga ma ntalo, kosukisa misala mya yango,"" elobi na AFP Justin Mubarikiwa, moko na bayi Observatoire d’actions parlementaires et gouvernemantale (moko na ba mouvements citoyens) ya esika eye. Mokano ya kosenga ba compagnies baye kosukisa kozwa makele (mines) mozwamaki mikolo le 20 août na mokambi ya civili ya etuka ya Sud-Kivu, Théo Kasi. Kasi ministre ya Mines ya mbulamatari ya ekolo aboyaki yango nsima na yango. ""Ba Chinois babebisi bilanga ya bana mboka mpe nzamba ya na bango. Baye batelemeli, bazali kosenga mpe bafutama misolo mpo na mpasi eye,"" ebakisi M. Mubarikiwa oyo azalaki kati na batelemeli. Ba Chinois bafundamaka na mbeba mingi na ba compagnies na bango mpe na kozwa ba minerais na moyibi. Na nsuka ya mposo moleki, president Félix Tshisekedi asengaki na mbulamatari kobandela kotala ba contrats na ba Chinois. Commission ya Sénat ya Etats-Unis ya boyokani na bikolo mya bapaya esepeli na mokolo ya président Tshisekedi ya kobandela kotala ba contrats na ba Chinois. Commission yango elobi ete moyibi ya mbanga matalo na RDC mosengeli mosukisama."	https://www.voalingala.com/a/bavandi-batelemeli-ba-compagnies-ya-ba-chinois-na-mwenga-ntango-tshisekedi-asengi-botali-ya-ba-contrats-na-bango/6224779.html
health	"""Confinement"" na Brazzaville ntango ya ba feti"	"Mbulamatari ya Congo-Brazzaville ezwi mikano mpo ya COVID-19 mpo na ba feti. ""O’mokolo mwa le 24 mpe ya le 31 décembre ba ekala mpe malewa ekotikala ya kokangama kino 19H,"" elobi molobeli ya mbulamatari Thierry Moungalla. Kolanda M. Moungalla, pene na millions mitano ya bana ba Congo-Brazzaville esengeli bavanda na ndako na eloko y aba feti. Bato 6.571 bayebani kozwama na COVID-19 na Congo-Brazzaville. Mbulamatari ekangaka baton a ndako wuto le 31 mars kino le 18 mai ntango nsima na mokoni ya yambo azwama na France."	https://www.voalingala.com/a/confinement-na-brazzaville-ntango-ya-ba-feti/5709398.html
sports	"CHAN 2021 : Ba ""Léopards"" balongwe mpe ba ""Lions indomptables"" baleki na ½ (1-2)"	Ba Léopards ya RDC balongwe na CHAN 2021 nsima na kokweyisama 1-2 liboso lya ba Lions Indompatbles ya Cameroun epayi wapi phase finale ya momekano moye mozali kobetama. Basani ba RDC bazali bato na yambo ya koningisa monyama na 21’ na Makabi Lilepo na moto. Kasi na 29’, ba Lions bazongisaki mongete na Yannick N’Djeng nsima na garien de but Matampi Ley kozanga kozwa ndembo na point ya penalty. Félix Oukiné akatki mpema ya Léopards na mongete ya mibale ya Cameroun na 41’. Basani ba Léopards basalaki makasi kasi elongaka ekandaki na ba Lions. Mwa ngonga yambo na yango, ba Aigles ya Mali balekaki mpe na 1/2 finale nsima na kolonga ba Diables rouges ya Congo-Brazzaville na ba tirs au but (5-4).	https://www.voalingala.com/a/chan-2021-ba-l%C3%A9opards-balongwe-mpe-ba-lions-indomptables-baleki-na-%C2%BD-(1-2)/5758073.html
